,value(\)
0,215.54483801667647
1,283.7814087163063
2,147.28191473032666
3,191.7904190592545
4,339.6011839777231
5,303.501959408206
6,302.6000539651354
7,246.24209025109923
8,259.0647831275899
9,170.65424803667293
10,244.3125942302585
11,279.62781816483243
12,212.00740449009547
13,222.27031242289132
14,262.22106789004806
15,221.69553190584023
16,347.93553224731363
17,122.81401182699358
18,193.44629468619962
19,309.7581868331686
20,369.37989963501576
21,318.1556721646083
22,283.2977669727688
23,281.9734182018322
24,154.0369345808176
25,267.54100222175776
26,189.8306574134917
27,168.79476158754602
28,295.377548390695
29,239.6972642655613
30,232.3025265031115
31,275.2434412665413
32,218.5951945923137
33,158.96482630696522
34,252.11384044368253
35,104.55422769430692
36,140.31138308327957
37,223.10456267417757
38,275.38667939281777
39,251.92800552112504
40,258.6143527130407
41,161.1646498335504
42,238.73004368672613
43,306.565868025456
44,202.9978502600256
45,140.3950933765512
46,220.84440220628198
47,214.66263902840703
48,322.3308132983078
49,219.76443442031092
50,261.58588026448615
51,220.26534065140072
52,162.48758475623887
53,291.5462653202972
54,303.1642964215828
55,366.4090872723864
56,295.1859368692526
57,159.29738117087226
58,205.6280367879996
59,263.3225585038218
60,184.7179198577679
61,339.96232677598636
62,272.5704989991676
63,241.08820675779484
64,324.42491063292044
65,235.22870809223744
66,277.6675541176111
67,284.939616404269
68,308.29379614045274
69,257.87498811915157
70,196.03511275197184
71,184.6763577881917
72,287.01678402361404
73,404.7272676969917
74,228.23439720224624
75,247.61863793934597
76,294.84798144279233
77,224.18285450229482
78,269.1433062450824
79,307.6493722485411
80,210.0089050269519
81,256.2437202304402
82,213.2674906126345
83,369.79708153266256
84,215.65695788040753
85,218.58170411113127
86,318.18591842079945
87,231.65274806334955
88,336.7791873409842
89,338.2686445193144
90,310.504789634652
91,193.56586841232922
92,295.27347329003555
93,288.898966454368
94,248.77967868778293
95,247.97430614107807
96,219.43077810984903
97,253.88725228117133
98,250.69431847246355
99,261.89367743561047
100,198.7967641993184
101,299.20200534809703
102,230.3663124579965
103,250.64852216749588
104,184.00561814265583
105,203.93277321019397
106,215.12013335559135
107,300.2301284606221
108,286.8227559750129
109,261.93048626244473
110,189.69681495130288
111,217.46957774446673
112,272.5442984103557
113,291.1831991212207
114,252.0169173028662
115,270.28598347828074
116,289.60007477011186
117,356.182414044665
118,276.34153338419986
119,267.7030332830758
120,195.50869563153213
121,304.71378777017105
122,198.2103872076918
123,295.281302838216
124,245.27611634903914
125,281.74973784374964
126,181.49546564041094
127,238.9394666580898
128,193.30903197486325
129,199.4399653363467
130,200.8631292811055
131,148.64812989277243
132,92.64255828500978
133,236.41078826074678
134,244.39923133554407
135,238.17594386414058
136,238.15850036323445
137,296.72158819105084
138,228.06846204882382
139,185.84824744711824
140,258.2337081652859
141,172.92060029135544
142,225.57147525645726
143,288.3995108103203
144,267.9933771963408
145,218.5071690676621
146,241.30730020449778
147,294.2287695855695
148,241.08358960068983
149,248.56431006360606
150,247.5829633105675
151,227.73957708802237
152,168.5628316419201
153,287.4850094132887
154,174.90307028786438
155,176.69676695434623
156,330.43120371405627
157,226.3667805185095
158,304.6752036413309
159,364.7960112566961
160,171.22909470427754
161,312.1962046105765
162,274.162022014013
163,179.16528384697304
164,128.06750706360492
165,267.4091323580673
166,289.52089826580664
167,218.63642258900364
168,162.31482808184745
169,214.84169230645472
170,166.69728272405143
171,237.19870360739748
172,180.78288577610343
173,240.60702743695703
174,296.4525396625247
175,283.88759981332845
176,240.25754887120442
177,173.7094262309073
178,252.84453592977994
179,271.4993918975686
180,238.80115689372738
181,261.64041014567056
182,277.4090120072923
183,336.1052578260592
184,293.0132890506164
185,176.91332407206608
186,242.4170670545767
187,218.63148006065674
188,306.2358290298433
189,303.0903028671051
190,211.78445861475063
191,165.78562832329914
192,248.45511617090418
193,240.02573286732917
194,241.46707671896127
195,306.72654567205905
196,156.59573920184727
197,176.12873693404558
198,271.39746174678055
199,285.70785339612905
200,202.3245977492599
201,281.605060739008
202,213.5150473916928
203,320.6549319086465
204,301.0086815093092
205,232.8565589412731
206,244.03544687009813
207,206.46545341993607
208,256.97297047184446
209,231.89661371765183
210,129.88017949562936
211,266.8739585082508
212,270.8691570733997
213,269.1309114553899
214,262.9594664444616
215,272.7276162088662
216,279.5073344476824
217,344.4577964879169
218,240.03693869106638
219,270.8267075791866
220,275.56222831241377
221,298.0790403162568
222,232.60958552516388
223,223.8915725381019
224,221.50802337050902
225,231.9844341672496
226,239.39697885383742
227,283.3789197677018
228,181.77411048603292
229,256.0679272078928
230,341.0715268189622
231,276.41591127923033
232,264.76993604338605
233,222.34342256447567
234,296.55179814783395
235,293.64491991273707
236,295.63217106034637
237,247.9407607304077
238,268.9320676653117
239,343.9939065166241
240,232.15067959548426
241,207.2248460050934
242,248.2048666313956
243,218.69160210440944
244,190.14481959871443
245,225.03056447158758
246,230.61494148448017
247,276.5492929153694
248,236.4972542468408
249,209.769289839726
250,332.53483347823396
251,258.02733825871235
252,196.1395898673162
253,267.99735453425103
254,299.2614696939937
255,234.85788510393888
256,328.1079761053476
257,205.08245040247053
258,187.8551486837492
259,246.86512546938764
260,193.10710525464805
261,271.04115210791537
262,251.02186399826186
263,270.2423794046155
264,233.9939634070242
265,264.82489293736944
266,332.84405733830454
267,285.8538764428785
268,231.41780691927423
269,330.8912652891876
270,224.15455441251777
271,229.1224912318037
272,192.90271922779132
273,258.83688762326005
274,206.89128024062302
275,258.78280040604506
276,315.3588865183026
277,241.1305229162278
278,312.45894839137725
279,279.9817868538304
280,184.7759472388787
281,231.80390016612446
282,243.71596373079666
283,300.90160263499763
284,173.86340928639794
285,242.10841771042146
286,287.97734280149064
287,255.37583584833925
288,158.0508666116661
289,352.00786381425246
290,230.94826843737138
291,211.0570549450801
292,220.22723610375476
293,199.66455827499186
294,196.25807580896452
295,199.00233780581232
296,312.24030112604004
297,180.76607875355478
298,338.5174180993325
299,271.4700950838773
300,218.22641025527724
301,151.51960090046595
302,281.48802299750156
303,283.68704847495644
304,286.68456078255815
305,302.3072506078917
306,323.2514004063503
307,222.02930850971453
308,210.78924544854544
309,283.9427655051624
310,189.81526758242143
311,285.4942484454442
312,175.3940671863821
313,240.0674190446664
314,195.82569469810943
315,332.5335393456861
316,174.3320822058638
317,331.9794837693341
318,236.24646729760406
319,278.4547228468194
320,209.84141942904938
321,279.05642039163115
322,279.2966747685243
323,276.4709353445957
324,260.2143407087556
325,265.41941194781816
326,154.1817212259855
327,217.23398385706543
328,178.54333148228585
329,230.25509805862396
330,289.6147719920317
331,132.44219132045035
332,264.1588320213812
333,307.6886374715229
334,151.2211742071953
335,213.71308656755326
336,236.7407390704574
337,252.23556041940162
338,296.02389973431843
339,263.6721268801852
340,347.816992904233
341,305.2926972941567
342,224.87571962624492
343,204.402740103326
344,276.82542736959
345,227.67067487043036
346,220.8297596262379
347,305.03552460503806
348,211.63716516599766
349,239.41562320443697
350,227.8080136794032
351,199.88893861591168
352,304.6472624463158
353,295.4067335398993
354,310.16466341457055
355,281.7141579403917
356,180.61107500052708
357,169.12854759565118
358,264.89681487205735
359,257.7018311701331
360,275.4367720343656
361,232.08345143293616
362,141.5784210837376
363,245.47094996065866
364,233.19034401883724
365,273.3967824071302
366,214.2217414338459
367,227.88967328930994
368,244.67460694612708
369,233.0102460494219
370,181.80030272269693
371,284.8560586488462
372,294.92800482229956
373,213.63730515629584
374,250.0725376284701
375,295.34972268525144
376,250.47946411309158
377,227.35721053830446
378,179.25462634195912
379,202.54230004058778
380,225.04587576943143
381,246.14047120433017
382,230.7291904381847
383,319.21931900098286
384,219.40529759168163
385,258.8674801122065
386,249.60265477708052
387,224.15878804507292
388,242.3666451125788
389,221.0075248267854
390,314.86334610637005
391,224.48652235760392
392,223.51167929813565
393,240.8502561523767
394,238.94444240479976
395,176.7847126972725
396,274.25687825506753
397,183.597932319468
398,247.95122076984129
399,247.975230421379
400,312.9191577321063
401,332.87094212639414
402,236.8345912683178
403,320.4719337850338
404,326.0306897871584
405,303.4996493986046
406,273.2855041675736
407,252.61452599293577
408,305.58703983577664
409,253.55075076541618
410,271.03047952008774
411,192.13527030397756
412,175.20940473316196
413,250.68224891101437
414,309.55811573017934
415,245.39768384358894
416,256.86266921161456
417,334.5934848749219
418,295.4060329020442
419,260.1868384525588
420,243.6893360810269
421,331.86018851663044
422,200.1264718798733
423,245.31490267009133
424,235.37843918355242
425,266.22513048742235
426,259.01675615189515
427,199.9591188647659
428,215.03524688381435
429,319.52363265903927
430,243.40160714560352
431,215.7872629470582
432,215.24922108202236
433,264.2241796394381
434,208.47150654490596
435,198.32920525966642
436,155.334308970388
437,267.8655431065087
438,257.60630386415966
439,226.88214423537664
440,158.25563783319322
441,257.63224088071587
442,240.31250998649648
443,96.01275489183828
444,242.62379677226082
445,214.55812000493813
446,217.19488935867085
447,245.0602186579692
448,181.53921952458307
449,292.9046225202969
450,268.8884963311412
451,251.7677200028481
452,234.9368984041531
453,297.8241201688911
454,282.73310504504707
455,329.36376280422684
456,177.9043953881224
457,251.05844428590706
458,256.1983195746196
459,170.55467083437867
460,283.7876063101419
461,327.43056036643344
462,322.0658489928004
463,147.10213897329714
464,249.08877218901154
465,258.1595095016159
466,284.0629379746001
467,182.0872834759718
468,281.797214891972
469,242.40256926382756
470,207.01084736254398
471,259.66207584976524
472,274.7177199086347
473,183.43301759289625
474,281.37144596064843
475,199.53349771201513
476,307.5602293672328
477,266.0779720438316
478,248.30195302440808
479,216.3727344111333
480,245.9341887742309
481,242.90252869166207
482,305.65715135336904
483,286.90307911025366
484,262.0172179334052
485,211.68762905397992
486,316.48076344012395
487,271.8608382702938
488,263.0353338331488
489,218.13933908445654
490,196.18188963072447
491,227.4431806290984
492,246.84786367918954
493,317.201169642376
494,237.4340193982538
495,241.0257984521243
496,232.31398010475652
497,294.68576157741467
498,328.8047475916062
499,205.22947441446644
500,261.1238832048077
501,155.46870076024814
502,255.61857855872177
503,190.14966763779032
504,296.35911414347595
505,262.97361400802043
506,283.4831645454597
507,244.4779490848602
508,297.6547732918103
509,321.25020227031507
510,308.91662340664743
511,293.80263821462756
512,288.3766770691521
513,266.90411229035203
514,299.97928559562985
515,190.2077779916146
516,280.3164644211143
517,238.06534845213127
518,299.1672656177872
519,241.05137975866174
520,265.0576999594196
521,258.3908780330329
522,248.4802106559853
523,120.32662471961797
524,303.6340611844053
525,175.72569057777423
526,194.40172824063717
527,216.50297720146298
528,266.26698338959704
529,262.81786278212905
530,252.76680809189605
531,231.52566592160173
532,231.4254920004187
533,238.45457511303454
534,254.15591239385304
535,185.94807612039318
536,283.39181866348105
537,286.31201042254276
538,310.10095675257116
539,215.8702750128459
540,321.58563854792504
541,298.19567527125844
542,240.95224663324913
543,303.9604720811036
544,250.59457451076003
545,271.7622422142544
546,269.76563385403927
547,344.41014020481236
548,156.7637025811735
549,233.92083944420722
550,254.73660776528408
551,222.85264546432373
552,153.18970231352085
553,195.8774706591233
554,206.01378037208485
555,226.81961023593874
556,271.23851197021577
557,274.40765062841376
558,141.24450209740573
559,248.54758301817134
560,262.14814082709046
561,225.09348713296282
562,215.55832711265063
563,236.14731076915857
564,278.9019646298645
565,346.25010033433693
566,261.48886276374265
567,280.13563159910774
568,283.3144891488396
569,186.08520432589495
570,299.3669326460482
571,256.9752682531913
572,169.31275860543508
573,282.0026563145368
574,285.381501850452
575,184.42110201604945
576,338.00235768852474
577,194.90160820237764
578,240.05368598711348
579,198.77447348654624
580,186.1134163464376
581,310.64996903665383
582,183.1171643438259
583,256.5234747811121
584,327.270447204721
585,220.2315946316997
586,180.58350811333003
587,296.34684333921496
588,286.1708194763767
589,210.58428738420074
590,366.0452674357792
591,153.74704484782416
592,280.5187943982484
593,292.78059470640864
594,210.1201004056604
595,291.3462930599487
596,235.7435867027977
597,252.42600379112557
598,211.9074606596471
599,233.27870500184272
600,238.56652838414522
601,233.5087843322986
602,255.55924680094506
603,209.774303410269
604,277.8613555586964
605,248.3331625449843
606,218.35000122191207
607,284.98098491816046
608,256.24529889229905
609,236.00307754797072
610,281.8597193550277
611,317.9853973241958
612,200.41796973826752
613,233.19128800883084
614,267.8146002402058
615,246.2285764947128
616,358.2443048090079
617,168.08887426640484
618,215.07243311937924
619,228.81988922460283
620,240.20574188969235
621,200.82161518954567
622,300.5970421017239
623,236.32034487096146
624,263.6333876331043
625,285.98562051971834
626,196.12896316103138
627,266.9443077327989
628,272.3544567638689
629,344.74281568736274
630,268.7621751916459
631,287.91199859367003
632,275.7519409610776
633,214.9510656116757
634,320.0871933048038
635,194.50168432071982
636,260.3603651118686
637,202.6304403252351
638,280.16691246447465
639,341.0358437135187
640,192.153905529445
641,310.333277892847
642,310.65191411540053
643,207.83729080276908
644,251.72685749822742
645,234.95829432396263
646,210.04047230706388
647,200.68715823926323
648,313.0069535910987
649,236.24126082517907
650,269.1794020099236
651,285.2568408987178
652,202.07060323182853
653,261.0154543946633
654,275.1435317550596
655,222.3863301669232
656,304.86186839662275
657,195.20971006866753
658,261.63232580472925
659,165.91423233536273
660,157.23735686677844
661,315.816053656527
662,248.84937412961847
663,241.11577501539404
664,318.1702511271509
665,277.6427863179147
666,171.93945982413902
667,249.4003375631946
668,153.50791973853256
669,225.07205398544488
670,258.014654856551
671,167.98929880487282
672,269.4241998296201
673,223.54436356393478
674,329.3033674501121
675,184.27016037171597
